"V1","V2","V3","V4","V5","V6","V7","V8"
"114","AMSMEN",0,795,222,29.5,6,1.05
"114","ASPPRO",0,795,222,29.5,6,1.05
"114","BROTEC",3,795,222,29.5,6,1.05
"114","DESSOP",0,795,222,29.5,6,1.05
"114","GALIUM",4,795,222,29.5,6,1.05
"114","LACSER",0,795,222,29.5,6,1.05
"114","LAMAMP",0,795,222,29.5,6,1.05
"114","LT",6,795,222,29.5,6,1.05
"114","NF",4,795,222,29.5,6,1.05
"114","NNF",0,795,222,29.5,6,1.05
"114","NNGRS",5,795,222,29.5,6,1.05
"114","PHLPRA",4,795,222,29.5,6,1.05
"114","SISALT",0,795,222,29.5,6,1.05
"114","TRADUB",0,795,222,29.5,6,1.05
"196","AMSMEN",0,819,0,73.25,0,0.12
"196","BG",3,819,0,73.25,0,0.12
"196","BROSTE",6,819,0,73.25,0,0.12
"196","BSC",0,819,0,73.25,0,0.12
"196","CERGLO",0,819,0,73.25,0,0.12
"196","CLAPER",0,819,0,73.25,0,0.12
"196","DRAVER",0,819,0,73.25,0,0.12
"196","EPIBRA",0,819,0,73.25,0,0.12
"196","FUNHYG",0,819,0,73.25,0,0.12
"196","LACSER",0,819,0,73.25,0,0.12
"196","LAMAMP",0,819,0,73.25,0,0.12
"196","LT",2,819,0,73.25,0,0.12
"196","MYOARV",0,819,0,73.25,0,0.12
"196","NF",0,819,0,73.25,0,0.12
"196","NNF",1,819,0,73.25,0,0.12
"196","NNGRS",6,819,0,73.25,0,0.12
"196","PHLPRA",0,819,0,73.25,0,0.12
"196","RK",0,819,0,73.25,0,0.12
"196","THIINT",0,819,0,73.25,0,0.12
"196","TRIMAR",0,819,0,73.25,0,0.12
"196","VERTHL",1,819,0,73.25,0,0.12
"199","ACHMIL",0,837,122,103.5,19,2.29
"199","ANTCAU",0,837,122,103.5,19,2.29
"199","ARESER",1,837,122,103.5,19,2.29
"199","BALSAG",0,837,122,103.5,19,2.29
"199","BG",2,837,122,103.5,19,2.29
"199","BROARV",1,837,122,103.5,19,2.29
"199","BROTEC",0,837,122,103.5,19,2.29
"199","BSC",1,837,122,103.5,19,2.29
"199","CASMIN",0,837,122,103.5,19,2.29
"199","CLAPER",0,837,122,103.5,19,2.29
"199","CLAPOC",0,837,122,103.5,19,2.29
"199","DRAVER",0,837,122,103.5,19,2.29
"199","EPIBRA",1,837,122,103.5,19,2.29
"199","FESIDA",0,837,122,103.5,19,2.29
"199","GALAPA",0,837,122,103.5,19,2.29
"199","GEUTRI",0,837,122,103.5,19,2.29
"199","LACSER",1,837,122,103.5,19,2.29
"199","LOMDIS",1,837,122,103.5,19,2.29
"199","LT",5,837,122,103.5,19,2.29
"199","LUPARG",0,837,122,103.5,19,2.29
"199","MICGRA",0,837,122,103.5,19,2.29
"199","MYOARV",2,837,122,103.5,19,2.29
"199","NF",2,837,122,103.5,19,2.29
"199","NGRS",0,837,122,103.5,19,2.29
"199","NNF",3,837,122,103.5,19,2.29
"199","NNGRS",2,837,122,103.5,19,2.29
"199","PSESPI",0,837,122,103.5,19,2.29
"199","ROSWOO",2,837,122,103.5,19,2.29
"199","SENINT",1,837,122,103.5,19,2.29
"199","SHRB",3,837,122,103.5,19,2.29
"199","SISALT",1,837,122,103.5,19,2.29
