SPECIES,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,SITE,ELV,ASPECT,DEPTH,SLOPE
AMSMEN,0,3,3,2,3,4,0,3,2,0,0,0,114,795,222,29.5,6
ASPPRO,0,0,0,0,0,0,0,0,0,1,0,1,114,795,222,29.5,6
BROTEC,3,2,4,2,4,3,5,3,4,5,6,6,114,795,222,29.5,6
DESSOP,0,0,0,0,0,0,0,0,0,0,1,0,114,795,222,29.5,6
GALIUM,4,4,4,4,4,4,3,5,5,3,1,3,114,795,222,29.5,6
LACSER,0,0,0,0,0,0,0,0,0,0,0,2,114,795,222,29.5,6
LAMAMP,0,1,0,0,0,0,0,0,0,1,0,0,114,795,222,29.5,6
LT,6,6,5,6,6,6,6,6,6,5,6,6,114,795,222,29.5,6
NF,4,4,4,4,4,4,3,5,5,3,1,3,114,795,222,29.5,6
NNF,0,3,4,2,3,4,0,3,2,2,1,2,114,795,222,29.5,6
NNGRS,5,4,4,4,4,3,6,3,4,6,6,6,114,795,222,29.5,6
PHLPRA,4,3,2,4,2,0,2,1,1,2,2,2,114,795,222,29.5,6
SISALT,0,0,2,0,0,0,0,0,0,0,0,0,114,795,222,29.5,6
TRADUB,0,0,0,0,0,1,0,0,0,0,0,0,114,795,222,29.5,6
AMSMEN,0,0,0,3,0,1,2,3,0,3,1,0,196,819,0,73.25,0
BG,3,3,3,4,4,2,1,1,3,2,4,3,196,819,0,73.25,0
BROSTE,6,5,0,2,3,5,2,5,4,2,0,0,196,819,0,73.25,0
BSC,0,0,0,0,1,0,0,0,0,0,0,0,196,819,0,73.25,0
CERGLO,0,2,0,0,1,0,0,0,0,0,0,0,196,819,0,73.25,0
CLAPER,0,0,0,0,1,1,0,0,0,0,0,0,196,819,0,73.25,0
DRAVER,0,0,0,0,1,0,0,1,0,0,0,0,196,819,0,73.25,0
EPIBRA,0,0,0,0,0,0,1,1,0,0,0,0,196,819,0,73.25,0
FUNHYG,0,0,0,0,1,0,0,0,0,0,0,0,196,819,0,73.25,0
LACSER,0,0,0,0,1,0,0,0,0,0,0,0,196,819,0,73.25,0
LAMAMP,0,0,0,0,0,1,0,1,0,0,1,1,196,819,0,73.25,0
LT,2,2,2,1,2,4,6,5,2,2,3,1,196,819,0,73.25,0
MYOARV,0,0,0,0,0,0,1,1,0,0,0,0,196,819,0,73.25,0
NF,0,0,0,0,1,1,1,1,0,0,0,0,196,819,0,73.25,0
NNF,1,2,0,4,4,4,4,4,3,5,3,1,196,819,0,73.25,0
NNGRS,6,5,5,4,4,5,4,5,5,3,3,5,196,819,0,73.25,0
PHLPRA,0,1,0,4,2,0,0,0,3,2,2,0,196,819,0,73.25,0
RK,0,0,0,0,0,0,0,0,1,1,0,1,196,819,0,73.25,0
THIINT,0,0,0,0,1,1,3,2,0,0,2,5,196,819,0,73.25,0
TRIMAR,0,0,0,2,3,4,4,0,3,3,2,0,196,819,0,73.25,0
VERTHL,1,0,0,0,0,0,0,0,0,0,0,0,196,819,0,73.25,0
ACHMIL,0,0,1,0,1,0,0,0,0,0,0,1,199,837,122,103.5,19
ANTCAU,0,1,0,0,2,0,0,0,0,0,0,0,199,837,122,103.5,19
ARESER,1,1,1,2,0,0,0,0,0,0,0,0,199,837,122,103.5,19
BALSAG,0,0,0,0,6,0,0,1,0,3,0,0,199,837,122,103.5,19
BG,2,0,1,3,1,0,3,4,2,1,0,0,199,837,122,103.5,19
BROARV,1,0,0,0,0,0,0,0,0,0,0,0,199,837,122,103.5,19
BROTEC,0,4,2,3,4,2,3,3,3,0,0,0,199,837,122,103.5,19
BSC,1,0,2,0,0,1,0,0,2,1,1,3,199,837,122,103.5,19
CASMIN,0,0,0,0,0,0,0,0,0,0,2,0,199,837,122,103.5,19
CLAPER,0,1,0,0,0,2,2,0,1,1,0,1,199,837,122,103.5,19
CLAPOC,0,0,0,0,0,0,0,0,0,0,0,1,199,837,122,103.5,19
DRAVER,0,0,0,0,0,0,0,0,1,0,0,1,199,837,122,103.5,19
EPIBRA,1,1,0,0,0,2,2,0,1,1,0,1,199,837,122,103.5,19
FESIDA,0,0,0,0,0,0,0,1,2,4,0,6,199,837,122,103.5,19
GALAPA,0,0,0,0,0,0,0,0,0,0,1,0,199,837,122,103.5,19
GEUTRI,0,1,0,4,3,3,5,3,4,3,0,0,199,837,122,103.5,19
LACSER,1,2,1,1,0,0,0,0,0,0,0,0,199,837,122,103.5,19
LOMDIS,1,0,4,5,0,4,0,3,0,0,2,3,199,837,122,103.5,19
LT,5,6,6,4,6,5,4,4,4,5,6,5,199,837,122,103.5,19
LUPARG,0,0,0,1,0,0,0,0,0,0,0,0,199,837,122,103.5,19
MICGRA,0,0,1,0,0,0,0,0,0,1,4,0,199,837,122,103.5,19
